Category	Date	PdDistrict	X	Y	Location
VEHICLE THEFT	4/30/17	SOUTHERN	-122.3879146	37.78336317	"(37.78336317260759, -122.3879146011404)"
VEHICLE THEFT	12/15/17	INGLESIDE	-122.4083927	37.74125816	"(37.7412581622752, -122.40839271327111)"
VEHICLE THEFT	12/17/17	NORTHERN	-122.4232177	37.7864018	"(37.78640179541553, -122.42321767391327)"
VEHICLE THEFT	3/28/17	SOUTHERN	-122.4053955	37.78351007	"(37.78351007154212, -122.40539549393928)"
VEHICLE THEFT	12/17/17	CENTRAL	-122.4063073	37.79426336	"(37.79426335805204, -122.4063072763861)"
VEHICLE THEFT	12/17/17	CENTRAL	-122.4066639	37.79376509	"(37.79376508975372, -122.40666390701753)"
VEHICLE THEFT	12/17/17	NORTHERN	-122.4258049	37.79087274	"(37.790872742516065, -122.4258049253137)"
VEHICLE THEFT	12/18/17	SOUTHERN	-122.4171049	37.77432429	"(37.774324286790765, -122.41710489555551)"
VEHICLE THEFT	11/22/17	TENDERLOIN	-122.4105309	37.78615172	"(37.78615172368991, -122.41053090841777)"
VEHICLE THEFT	12/18/17	NORTHERN	-122.4283219	37.79464662	"(37.7946466215381, -122.42832189157616)"
VEHICLE THEFT	5/11/17	CENTRAL	-122.4119531	37.80582429	"(37.80582429492737, -122.41195308361146)"
VEHICLE THEFT	3/30/17	SOUTHERN	-122.418619	37.77305255	"(37.773052554765336, -122.4186189533387)"
VEHICLE THEFT	12/17/17	BAYVIEW	-122.3950628	37.76654436	"(37.76654435620811, -122.39506284986331)"
VEHICLE THEFT	3/31/17	INGLESIDE	-122.4568362	37.72567685	"(37.725676851047666, -122.45683621628194)"
VEHICLE THEFT	3/30/17	NORTHERN	-122.4300952	37.77837628	"(37.77837628364707, -122.43009524211111)"
VEHICLE THEFT	5/13/17	SOUTHERN	-122.3989327	37.78378482	"(37.783784821158434, -122.39893271109496)"
VEHICLE THEFT	4/1/17	BAYVIEW	-122.4006367	37.76489711	"(37.764897114661274, -122.40063671842445)"
VEHICLE THEFT	3/31/17	NORTHERN	-122.4319276	37.77909832	"(37.77909832431815, -122.43192764761473)"
VEHICLE THEFT	9/8/17	SOUTHERN	-122.4126203	37.77702593	"(37.77702592717966, -122.4126202580058)"
VEHICLE THEFT	11/30/17	INGLESIDE	-122.4331866	37.71968054	"(37.719680539524546, -122.43318661414149)"
VEHICLE THEFT	5/11/17	INGLESIDE	-122.4420283	37.73235788	"(37.732357879121466, -122.44202827034165)"
VEHICLE THEFT	4/3/17	PARK	-122.4406711	37.77648328	"(37.7764832829837, -122.44067110847877)"
VEHICLE THEFT	12/21/17	RICHMOND	-122.4832834	37.78215362	"(37.782153616285676, -122.48328338807224)"
VEHICLE THEFT	9/18/17	TARAVAL	-122.5038111	37.74554991	"(37.74554990975961, -122.5038111041353)"
VEHICLE THEFT	11/20/17	MISSION	-122.4106001	37.76753256	"(37.76753255940308, -122.41060010346314)"
VEHICLE THEFT	4/4/17	MISSION	-122.4128464	37.75175928	"(37.75175927557971, -122.4128463925109)"
VEHICLE THEFT	5/19/17	TARAVAL	-122.4631478	37.73747492	"(37.73747492065356, -122.4631477803)"
VEHICLE THEFT	4/3/17	MISSION	-122.4154739	37.7556333	"(37.75563329793225, -122.41547393151343)"
VEHICLE THEFT	6/17/17	BAYVIEW	-122.3851225	37.72785972	"(37.7278597168875, -122.38512249162738)"
VEHICLE THEFT	12/22/17	SOUTHERN	-122.3996176	37.78079066	"(37.7807906550067, -122.39961755878232)"
VEHICLE THEFT	12/23/17	BAYVIEW	-122.3849954	37.73253332	"(37.73253331885422, -122.3849954340903)"
VEHICLE THEFT	12/22/17	BAYVIEW	-122.4075883	37.72797884	"(37.72797884327505, -122.4075882507143)"
VEHICLE THEFT	12/22/17	RICHMOND	-122.437978	37.78843536	"(37.788435356124936, -122.4379780082345)"
VEHICLE THEFT	12/23/17	PARK	-122.4599881	37.76476714	"(37.764767137357225, -122.45998812865389)"
VEHICLE THEFT	4/8/17	MISSION	-122.4328413	37.7622236	"(37.76222359672726, -122.43284128540265)"
VEHICLE THEFT	6/24/17	SOUTHERN	-122.4003875	37.8025736	"(37.80257359916507, -122.40038746482043)"
VEHICLE THEFT	4/8/17	PARK	-122.445108	37.76928367	"(37.769283672281794, -122.44510802653413)"
VEHICLE THEFT	10/9/17	TARAVAL	-122.4750199	37.74773864	"(37.74773863787151, -122.47501994781838)"
VEHICLE THEFT	12/23/17	MISSION	-122.4156163	37.76853601	"(37.76853601235833, -122.41561633832019)"
VEHICLE THEFT	12/24/17	CENTRAL	-122.4139966	37.7968985	"(37.79689850226286, -122.41399661884591)"
VEHICLE THEFT	12/27/17	TARAVAL	-122.4538693	37.71652279	"(37.7165227910393, -122.45386931325568)"
VEHICLE THEFT	4/12/17	PARK	-122.4394808	37.78330881	"(37.78330881008463, -122.4394807722421)"
VEHICLE THEFT	12/28/17	BAYVIEW	-122.3903603	37.72050646	"(37.72050645903634, -122.39036028161027)"
VEHICLE THEFT	12/27/17	INGLESIDE	-122.4420776	37.72964282	"(37.729642815798925, -122.44207756970142)"
VEHICLE THEFT	4/12/17	MISSION	-122.4114475	37.76618628	"(37.766186284047365, -122.41144751293315)"
VEHICLE THEFT	4/12/17	INGLESIDE	-122.4221604	37.72477981	"(37.72477980721811, -122.42216042094418)"
VEHICLE THEFT	12/26/17	BAYVIEW	-122.4072358	37.73128851	"(37.731288508617084, -122.40723578161088)"
VEHICLE THEFT	4/12/17	INGLESIDE	-122.4420776	37.72964282	"(37.729642815798925, -122.44207756970142)"
VEHICLE THEFT	10/17/17	NORTHERN	-122.4296407	37.78476407	"(37.784764070719845, -122.42964066920682)"
VEHICLE THEFT	4/10/17	PARK	-122.4528966	37.75806274	"(37.758062743185945, -122.45289658731788)"
VEHICLE THEFT	7/1/17	NORTHERN	-122.4324693	37.77375752	"(37.77375752470751, -122.43246928522122)"
VEHICLE THEFT	10/18/17	TARAVAL	-122.4966948	37.73080323	"(37.730803234884085, -122.49669477096757)"
VEHICLE THEFT	4/12/17	MISSION	-122.4259205	37.75982792	"(37.75982791722287, -122.42592048743613)"
VEHICLE THEFT	4/14/17	BAYVIEW	-122.389889	37.72104632	"(37.72104631900785, -122.38988901011449)"
VEHICLE THEFT	9/3/17	INGLESIDE	-122.4208641	37.71219983	"(37.71219982598, -122.42086414652103)"
VEHICLE THEFT	4/7/17	NORTHERN	-122.4180455	37.77751189	"(37.77751188956945, -122.41804545276847)"
VEHICLE THEFT	7/3/17	SOUTHERN	-122.4034641	37.77852338	"(37.77852337760322, -122.40346408003299)"
VEHICLE THEFT	10/20/17	PARK	-122.4397852	37.78053274	"(37.78053274417562, -122.43978515169002)"
VEHICLE THEFT	4/15/17	MISSION	-122.4327457	37.75981919	"(37.759819191387095, -122.43274574491818)"
VEHICLE THEFT	4/17/17	MISSION	-122.4361076	37.76147068	"(37.76147067910538, -122.43610757912263)"
VEHICLE THEFT	4/17/17	BAYVIEW	-122.3828522	37.7256944	"(37.725694399151486, -122.38285217582312)"
VEHICLE THEFT	4/15/17	SOUTHERN	-122.4053955	37.78351007	"(37.78351007154212, -122.40539549393928)"
VEHICLE THEFT	4/18/17	PARK	-122.4419979	37.770637	"(37.770636998397435, -122.44199787717884)"
VEHICLE THEFT	4/16/17	MISSION	-122.4207869	37.76218212	"(37.7621821162918, -122.4207868675234)"
VEHICLE THEFT	4/19/17	MISSION	-122.4393052	37.76101775	"(37.76101774762077, -122.43930518040952)"
