Date,X,Y
7/1/17,-122.4176342,37.78706319
2/4/17,-122.4442844,37.729093
3/18/17,-122.4218706,37.77942402
6/23/17,-122.4305819,37.72959681
10/26/17,-122.4100703,37.80218433
7/3/17,-122.4103138,37.80602666
7/3/17,-122.417904,37.78516709
7/4/17,-122.3998338,37.78104322
7/4/17,-122.4269763,37.76466482
2/10/17,-122.4763659,37.73740717
6/18/17,-122.4277603,37.76619268
9/10/17,-122.502397,37.77265625
9/11/17,-122.4738372,37.77959913
9/9/17,-122.4170319,37.76115609
10/11/17,-122.4096851,37.77283777
3/22/17,-122.3914703,37.77311763
7/6/17,-122.4004736,37.78502906
12/23/17,-122.4010737,37.72153543
6/20/17,-122.4070165,37.77739964
6/29/17,-122.3983285,37.73604501
5/7/17,-122.3655654,37.8096707
7/8/17,-122.4356374,37.76816943
9/14/17,-122.4444669,37.75219657
9/15/17,-122.4524374,37.77218688
7/9/17,-122.4363791,37.75195964
9/15/17,-122.4053206,37.79708938
7/10/17,-122.4224142,37.76164869
2/22/17,-122.4092212,37.73139283
9/17/17,-122.4614919,37.74089601
9/15/17,-122.4742445,37.78436898
7/13/17,-122.4190748,37.76671898
7/11/17,-122.4649438,37.77531936
3/27/17,-122.4303811,37.77588307
10/23/17,-122.4721151,37.76201079
7/13/17,-122.4216154,37.77424126
7/13/17,-122.4744647,37.7562008
7/12/17,-122.4157813,37.75883121
7/13/17,-122.4171804,37.76196742
7/14/17,-122.4585055,37.77619015
7/11/17,-122.4859393,37.77430794
7/14/17,-122.4220849,37.80160202
9/19/17,-122.4435148,37.78049566
2/27/17,-122.4761859,37.76549787
7/14/17,-122.410232,37.74957112
7/14/17,-122.4710898,37.74043428
9/22/17,-122.42911,37.76989883
7/15/17,-122.4127995,37.76110947
3/25/17,-122.4102935,37.78223059
7/15/17,-122.4133962,37.74463582
7/15/17,-122.4143797,37.77604367
3/2/17,-122.3799327,37.73338153
7/16/17,-122.41527,37.80589801
7/13/17,-122.4131076,37.76544802
3/30/17,-122.4447119,37.76690579
7/16/17,-122.4446198,37.77556892
11/17/17,-122.4053116,37.71728064
2/12/17,-122.3655654,37.8096707
3/31/17,-122.4327953,37.76102017
9/25/17,-122.4519542,37.71205588
6/12/17,-122.4345322,37.76733873
5/19/17,-122.4096291,37.77209057
7/16/17,-122.4625427,37.71117121
7/7/17,-122.4310144,37.77490211
7/9/17,-122.4263845,37.76464394
9/25/17,-122.4153869,37.79775037
7/17/17,-122.4146504,37.77501965
7/16/17,-122.4178006,37.80126838
9/25/17,-122.3976193,37.74066494
9/25/17,-122.3976193,37.74066494
2/2/17,-122.4640414,37.76226717
3/5/17,-122.41765,37.75468276
9/27/17,-122.4270196,37.78019212
4/1/17,-122.4451917,37.76290994
7/15/17,-122.3920685,37.72329561
9/26/17,-122.4318161,37.78723089
4/1/17,-122.4333832,37.77795665
7/18/17,-122.4096469,37.74833589
7/20/17,-122.4066697,37.79786417
11/24/17,-122.3906896,37.73521723
11/24/17,-122.3908043,37.75143164
7/21/17,-122.4142668,37.80463488
7/21/17,-122.4142668,37.80463488
7/20/17,-122.4162618,37.78537508
7/19/17,-122.4625427,37.71117121
7/19/17,-122.4625427,37.71117121
12/2/17,-122.3889044,37.72669172
7/23/17,-122.3985731,37.7952924
10/3/17,-122.4057716,37.74452822
7/23/17,-122.4102219,37.73934284
10/4/17,-122.4756475,37.72852806
7/22/17,-122.4269217,37.72806566
7/23/17,-122.3862423,37.72660568
7/24/17,-122.3896395,37.78622504
4/6/17,-122.4111355,37.80587011
10/23/17,-122.4138143,37.80703621
7/25/17,-122.3982089,37.73478635
7/25/17,-122.4626927,37.78121707
7/25/17,-122.4507746,37.71111673
7/25/17,-122.5009415,37.78029188
4/6/17,-122.4250006,37.7785385
7/26/17,-122.4171049,37.77432429
10/9/17,-122.4142668,37.80463488
12/14/17,-122.4056492,37.79896844
7/1/17,-122.4105309,37.78615172
2/13/17,-122.4125974,37.78393203
3/15/17,-122.4187876,37.74515206
7/26/17,-122.4598606,37.77927991
7/27/17,-122.5017653,37.76340264
7/27/17,-122.4095011,37.74131712
7/28/17,-122.4050875,37.79812193
8/29/17,-122.3962941,37.76521433
7/28/17,-122.4717436,37.7497538
7/28/17,-122.4590236,37.7131719
10/9/17,-122.4014585,37.75392397
7/20/17,-122.4242301,37.78717856
10/6/17,-122.3900023,37.7161593
4/10/17,-122.4545244,37.77831653
10/12/17,-122.441879,37.74776016
7/27/17,-122.4050969,37.74911001
7/28/17,-122.4506641,37.70942755
3/18/17,-122.4215396,37.79891855
10/13/17,-122.4150532,37.74096365
7/29/17,-122.4047969,37.7849071
7/30/17,-122.4094824,37.77545062
12/16/17,-122.4467208,37.71740599
7/30/17,-122.4143893,37.75570037
10/14/17,-122.4394686,37.79140717
7/30/17,-122.4201835,37.75690314
10/15/17,-122.4178034,37.76840431
10/14/17,-122.4256097,37.77319953
7/29/17,-122.4146289,37.79366636
7/29/17,-122.4146289,37.79366636
7/31/17,-122.4195075,37.7763701
10/15/17,-122.4236299,37.80045202
10/15/17,-122.4236299,37.80045202
7/29/17,-122.3889237,37.72522533
10/15/17,-122.4427957,37.7828834
10/15/17,-122.4172824,37.76849174
7/3/17,-122.4409308,37.76052663
12/19/17,-122.4176765,37.79559684
8/1/17,-122.3989327,37.78378482
10/16/17,-122.4445955,37.77508541
8/1/17,-122.4600016,37.78121141
12/30/17,-122.4251209,37.76315281
10/17/17,-122.4264431,37.78979113
8/2/17,-122.4156062,37.74182218
8/2/17,-122.435753,37.7733438
8/2/17,-122.4109392,37.77921226
8/2/17,-122.4109392,37.77921226
7/31/17,-122.4267224,37.77443737
8/2/17,-122.4299013,37.72126519
7/30/17,-122.4871494,37.78378409
8/12/17,-122.3994437,37.73017602
7/31/17,-122.4371821,37.75993828
10/19/17,-122.3984724,37.78334209
8/3/17,-122.4333332,37.76666178
3/24/17,-122.4195969,37.74203919
10/19/17,-122.409634,37.7489319
1/7/17,-122.4259205,37.75982792
7/27/17,-122.4492936,37.72175277
8/4/17,-122.4185845,37.73929891
8/5/17,-122.4056023,37.77726512
1/7/17,-122.4053955,37.78351007
8/5/17,-122.4304365,37.77210697
8/5/17,-122.4470953,37.71112255
8/5/17,-122.4160696,37.80525829
1/8/17,-122.4673504,37.77989721
10/14/17,-122.4129432,37.77473966
10/23/17,-122.4681583,37.77517234
4/15/17,-122.4327457,37.75981919
7/21/17,-122.4171804,37.76196742
12/28/17,-122.4115931,37.78305295
10/24/17,-122.4272402,37.73079225
8/4/17,-122.4438637,37.77184434
8/6/17,-122.4184651,37.73853404
12/27/17,-122.4665667,37.7753015
8/8/17,-122.3993538,37.74017741
8/8/17,-122.4076265,37.73402306
12/29/17,-122.4051125,37.7299591
1/1/17,-122.4107688,37.78321452
10/27/17,-122.4667012,37.77716652
8/8/17,-122.3859083,37.73603126
10/27/17,-122.4069108,37.73796662
10/27/17,-122.4069108,37.73796662
8/8/17,-122.3896395,37.78622504
10/28/17,-122.3843969,37.7325071
10/28/17,-122.4779676,37.74482183
10/27/17,-122.4131631,37.77499264
8/9/17,-122.4607094,37.7249317
12/30/17,-122.4200503,37.73827418
8/8/17,-122.4195485,37.80576964
12/31/17,-122.3933115,37.75891011
12/30/17,-122.3891136,37.78572819
1/3/17,-122.4045866,37.71544328
4/18/17,-122.3970726,37.71732487
10/30/17,-122.3953297,37.7966653
12/30/17,-122.4457177,37.77208098
8/10/17,-122.4395864,37.71989101
8/8/17,-122.4191831,37.78309982
10/31/17,-122.4430314,37.76411289
8/11/17,-122.4193029,37.73818294
11/1/17,-122.5098954,37.7723132
7/26/17,-122.4638802,37.77447663
1/3/17,-122.434906,37.74808325
10/30/17,-122.4472412,37.7201578
8/3/17,-122.4252255,37.77569124
11/2/17,-122.3984638,37.76246266
8/12/17,-122.4373472,37.77690572
8/12/17,-122.4357485,37.72194337
4/18/17,-122.4034998,37.79641833
11/3/17,-122.4635408,37.71793135
1/3/17,-122.3861007,37.73800201
3/30/17,-122.4046112,37.8019601
4/20/17,-122.4788376,37.77281248
3/30/17,-122.4015568,37.77605742
8/13/17,-122.435212,37.77103145
8/12/17,-122.4205711,37.78573311
4/1/17,-122.3802682,37.72891713
8/15/17,-122.4560807,37.71578923
8/15/17,-122.4560807,37.71578923
1/14/17,-122.4289521,37.75567667
8/14/17,-122.4229971,37.79777301
10/29/17,-122.3981273,37.74468515
4/23/17,-122.4292721,37.72409813
8/15/17,-122.4010969,37.72455567
8/10/17,-122.4603335,37.70846026
8/14/17,-122.4068682,37.70934702
8/14/17,-122.4296607,37.7515699
8/16/17,-122.4272424,37.76141181
7/4/17,-122.4455445,37.76732065
10/30/17,-122.4478502,37.76654817
8/17/17,-122.4425656,37.77342402
8/15/17,-122.4277603,37.76619268
8/17/17,-122.4068327,37.77509246
1/10/17,-122.4215976,37.72887463
1/9/17,-122.4249212,37.7276742
4/3/17,-122.4559589,37.73202931
8/10/17,-122.4298504,37.77791806
8/17/17,-122.4277371,37.7548977
8/17/17,-122.4170492,37.74910571
7/29/17,-122.5083316,37.76407276
11/12/17,-122.4239859,37.79855258
11/13/17,-122.3887856,37.75785638
8/18/17,-122.4169922,37.78864422
1/9/17,-122.4838842,37.71859659
1/20/17,-122.3920608,37.72794794
8/17/17,-122.4135615,37.79703835
1/11/17,-122.4942395,37.77677271
1/11/17,-122.4398145,37.73198339
4/5/17,-122.3983805,37.73821698
4/5/17,-122.4223721,37.7822183
11/10/17,-122.4350029,37.76088781
4/23/17,-122.4179404,37.79368191
4/7/17,-122.4366865,37.76439287
8/19/17,-122.4276805,37.73925805
8/20/17,-122.3861493,37.73683807
8/12/17,-122.449636,37.78230431
1/21/17,-122.4170492,37.74910571
8/20/17,-122.485263,37.77251765
11/19/17,-122.4176507,37.78801585
8/21/17,-122.4178203,37.76919514
8/21/17,-122.4178203,37.76919514
1/1/17,-122.4516264,37.71480791
8/15/17,-122.3890406,37.78432123
4/8/17,-122.3943429,37.76077136
8/20/17,-122.4288051,37.77231497
8/20/17,-122.4288051,37.77231497
8/22/17,-122.4440276,37.77229565
8/22/17,-122.3968547,37.73837018
8/23/17,-122.4209266,37.76906743
4/10/17,-122.3829167,37.72707373
4/11/17,-122.4146526,37.79410892
8/23/17,-122.4406397,37.80489447
8/24/17,-122.4322392,37.76667307
11/24/17,-122.4038767,37.76859161
8/18/17,-122.4010969,37.72455567
8/18/17,-122.4010969,37.72455567
8/13/17,-122.422073,37.76612595
